surname,frequency,cumulative_frequency,rank,source
CHARBONNEAU,0.001,69.453,8588,US Census 1990
CAINE,0.001,69.454,8589,US Census 1990
BURCHETTE,0.001,69.456,8590,US Census 1990
BLAKEY,0.001,69.457,8591,US Census 1990
BLAKEMORE,0.001,69.458,8592,US Census 1990
BERGQUIST,0.001,69.46,8593,US Census 1990
BEENE,0.001,69.461,8594,US Census 1990
BEAUDETTE,0.001,69.462,8595,US Census 1990
BAYLES,0.001,69.463,8596,US Census 1990
BALLANCE,0.001,69.465,8597,US Census 1990
BAKKER,0.001,69.466,8598,US Census 1990
BAILES,0.001,69.467,8599,US Census 1990
ASBERRY,0.001,69.469,8600,US Census 1990
ARWOOD,0.001,69.47,8601,US Census 1990
ZUCKER,0.001,69.471,8602,US Census 1990
WILLMAN,0.001,69.472,8603,US Census 1990
WHITESELL,0.001,69.474,8604,US Census 1990
WALD,0.001,69.475,8605,US Census 1990
WALCOTT,0.001,69.476,8606,US Census 1990
VANCLEAVE,0.001,69.478,8607,US Census 1990
TRUMP,0.001,69.479,8608,US Census 1990
TRAIL,0.001,69.48,8609,US Census 1990
STRASSER,0.001,69.481,8610,US Census 1990
SIMAS,0.001,69.483,8611,US Census 1990
SHORTS,0.001,69.484,8612,US Census 1990
SHICK,0.001,69.485,8613,US Census 1990
SCHLEICHER,0.001,69.486,8614,US Census 1990
SCHAAL,0.001,69.488,8615,US Census 1990
SALEH,0.001,69.489,8616,US Census 1990
ROTZ,0.001,69.49,8617,US Census 1990
RESNICK,0.001,69.492,8618,US Census 1990
RAPHAEL,0.001,69.493,8619,US Census 1990
RAINER,0.001,69.494,8620,US Census 1990
PARTEE,0.001,69.495,8621,US Census 1990
OLLIS,0.001,69.497,8622,US Census 1990
OLLER,0.001,69.498,8623,US Census 1990
ODAY,0.001,69.499,8624,US Census 1990
NOLES,0.001,69.5,8625,US Census 1990
MUNDAY,0.001,69.502,8626,US Census 1990
MOUNTAIN,0.001,69.503,8627,US Census 1990
MONG,0.001,69.504,8628,US Census 1990
MILLICAN,0.001,69.506,8629,US Census 1990
MERWIN,0.001,69.507,8630,US Census 1990
MAZZOLA,0.001,69.508,8631,US Census 1990
MANSELL,0.001,69.509,8632,US Census 1990
MAGALLANES,0.001,69.511,8633,US Census 1990
LLANES,0.001,69.512,8634,US Census 1990
LEWELLEN,0.001,69.513,8635,US Census 1990
LEPORE,0.001,69.514,8636,US Census 1990
KISNER,0.001,69.516,8637,US Census 1990
KEESEE,0.001,69.517,8638,US Census 1990
JIM,0.001,69.518,8639,US Census 1990
JEANLOUIS,0.001,69.52,8640,US Census 1990
INGHAM,0.001,69.521,8641,US Census 1990
HORNBECK,0.001,69.522,8642,US Census 1990
HERMES,0.001,69.523,8643,US Census 1990
HAWN,0.001,69.525,8644,US Census 1990
HARTZ,0.001,69.526,8645,US Census 1990
HARBER,0.001,69.527,8646,US Census 1990
HAFFNER,0.001,69.528,8647,US Census 1990
GUTSHALL,0.001,69.53,8648,US Census 1990
GUTH,0.001,69.531,8649,US Census 1990
GRAYS,0.001,69.532,8650,US Census 1990
GRAMS,0.001,69.534,8651,US Census 1990
GOWAN,0.001,69.535,8652,US Census 1990
FINLAY,0.001,69.536,8653,US Census 1990
FINKELSTEIN,0.001,69.537,8654,US Census 1990
EYLER,0.001,69.539,8655,US Census 1990
ENLOE,0.001,69.54,8656,US Census 1990
DUNGAN,0.001,69.541,8657,US Census 1990
DIEZ,0.001,69.542,8658,US Census 1990
DEARMAN,0.001,69.544,8659,US Census 1990
DANN,0.001,69.545,8660,US Census 1990
CULL,0.001,69.546,8661,US Census 1990
CROSSON,0.001,69.547,8662,US Census 1990
CREEK,0.001,69.549,8663,US Census 1990
CHRONISTER,0.001,69.55,8664,US Census 1990
CASSITY,0.001,69.551,8665,US Census 1990
CAMPION,0.001,69.553,8666,US Census 1990
CALLIHAN,0.001,69.554,8667,US Census 1990
BUTZ,0.001,69.555,8668,US Census 1990
BREAZEALE,0.001,69.556,8669,US Census 1990
BLUMENTHAL,0.001,69.558,8670,US Census 1990
BILLY,0.001,69.559,8671,US Census 1990
BERKEY,0.001,69.56,8672,US Census 1990
BATTY,0.001,69.561,8673,US Census 1990
BATTON,0.001,69.563,8674,US Census 1990
BARGE,0.001,69.564,8675,US Census 1990
ARVIZU,0.001,69.565,8676,US Census 1990
ALEXIS,0.001,69.567,8677,US Census 1990
ALDERETE,0.001,69.568,8678,US Census 1990
ALDANA,0.001,69.569,8679,US Census 1990
ALBAUGH,0.001,69.57,8680,US Census 1990
ABERNETHY,0.001,69.572,8681,US Census 1990
WORK,0.001,69.573,8682,US Census 1990
WOLTER,0.001,69.574,8683,US Census 1990
WILLE,0.001,69.575,8684,US Census 1990
TWEED,0.001,69.577,8685,US Census 1990
TOLLEFSON,0.001,69.578,8686,US Census 1990
THOMASSON,0.001,69.579,8687,US Census 1990
TETER,0.001,69.58,8688,US Census 1990
TESTERMAN,0.001,69.582,8689,US Census 1990
SPROUL,0.001,69.583,8690,US Census 1990
SPATES,0.001,69.584,8691,US Census 1990
SOUTHWICK,0.001,69.585,8692,US Census 1990
SOUKUP,0.001,69.587,8693,US Census 1990
SKELLY,0.001,69.588,8694,US Census 1990
SENTER,0.001,69.589,8695,US Census 1990
SEALEY,0.001,69.59,8696,US Census 1990
SAWICKI,0.001,69.592,8697,US Census 1990
SARGEANT,0.001,69.593,8698,US Census 1990
ROSSITER,0.001,69.594,8699,US Census 1990
ROSEMOND,0.001,69.596,8700,US Census 1990
REPP,0.001,69.597,8701,US Census 1990
POUND,0.001,69.598,8702,US Census 1990
PINK,0.001,69.599,8703,US Census 1990
PIFER,0.001,69.601,8704,US Census 1990
ORMSBY,0.001,69.602,8705,US Census 1990
NICKELSON,0.001,69.603,8706,US Census 1990
NAUMANN,0.001,69.604,8707,US Census 1990
MORABITO,0.001,69.606,8708,US Census 1990
MONZON,0.001,69.607,8709,US Census 1990
MILLSAPS,0.001,69.608,8710,US Census 1990
MILLEN,0.001,69.609,8711,US Census 1990
MCELRATH,0.001,69.611,8712,US Census 1990
MARCOUX,0.001,69.612,8713,US Census 1990
MANTOOTH,0.001,69.613,8714,US Census 1990
MADSON,0.001,69.614,8715,US Census 1990
MACNEIL,0.001,69.616,8716,US Census 1990
MACKINNON,0.001,69.617,8717,US Census 1990
LOUQUE,0.001,69.618,8718,US Census 1990
LEISTER,0.001,69.619,8719,US Census 1990
LAMPLEY,0.001,69.621,8720,US Census 1990
KUSHNER,0.001,69.622,8721,US Census 1990
KROUSE,0.001,69.623,8722,US Census 1990
KIRWAN,0.001,69.624,8723,US Census 1990
JUNE,0.001,69.626,8724,US Census 1990
JESSEE,0.001,69.627,8725,US Census 1990
JANSON,0.001,69.628,8726,US Census 1990
JAHN,0.001,69.629,8727,US Census 1990
JACQUEZ,0.001,69.631,8728,US Census 1990
ISLAS,0.001,69.632,8729,US Census 1990
HUTT,0.001,69.633,8730,US Census 1990
HOLLADAY,0.001,69.634,8731,US Census 1990
HILLYER,0.001,69.636,8732,US Census 1990
HEPBURN,0.001,69.637,8733,US Census 1990
HENSEL,0.001,69.638,8734,US Census 1990
HARROLD,0.001,69.639,8735,US Census 1990
GUADALUPE,0.001,69.641,8736,US Census 1990
GINGRICH,0.001,69.642,8737,US Census 1990
GEIS,0.001,69.643,8738,US Census 1990
GALES,0.001,69.645,8739,US Census 1990
FULTS,0.001,69.646,8740,US Census 1990
FINNELL,0.001,69.647,8741,US Census 1990
FERRI,0.001,69.648,8742,US Census 1990
FEATHERSTON,0.001,69.65,8743,US Census 1990
EPLEY,0.001,69.651,8744,US Census 1990
EBERSOLE,0.001,69.652,8745,US Census 1990
EAMES,0.001,69.653,8746,US Census 1990
DUNIGAN,0.001,69.655,8747,US Census 1990
DRYE,0.001,69.656,8748,US Census 1990
DISMUKE,0.001,69.657,8749,US Census 1990
DEVAUGHN,0.001,69.658,8750,US Census 1990
DELORENZO,0.001,69.66,8751,US Census 1990
DAMIANO,0.001,69.661,8752,US Census 1990
CONFER,0.001,69.662,8753,US Census 1990
COLLUM,0.001,69.663,8754,US Census 1990
CLOWER,0.001,69.665,8755,US Census 1990
CLOW,0.001,69.666,8756,US Census 1990
CLAUSSEN,0.001,69.667,8757,US Census 1990
CLACK,0.001,69.668,8758,US Census 1990
CAYLOR,0.001,69.67,8759,US Census 1990
CAWTHON,0.001,69.671,8760,US Census 1990
CASIAS,0.001,69.672,8761,US Census 1990
CARRENO,0.001,69.673,8762,US Census 1990
CARLO,0.001,69.675,8763,US Census 1990
BLUHM,0.001,69.676,8764,US Census 1990
BINGAMAN,0.001,69.677,8765,US Census 1990
BEWLEY,0.001,69.678,8766,US Census 1990
BELEW,0.001,69.68,8767,US Census 1990
BECKNER,0.001,69.681,8768,US Census 1990
BEAMER,0.001,69.682,8769,US Census 1990
BAREFOOT,0.001,69.683,8770,US Census 1990
AULD,0.001,69.685,8771,US Census 1990
AMEY,0.001,69.686,8772,US Census 1990
WOLFENBARGER,0.001,69.687,8773,US Census 1990
WILKEY,0.001,69.688,8774,US Census 1990
WICKLUND,0.001,69.69,8775,US Census 1990
WALTMAN,0.001,69.691,8776,US Census 1990
VILLALBA,0.001,69.692,8777,US Census 1990
VALERO,0.001,69.693,8778,US Census 1990
VALDOVINOS,0.001,69.695,8779,US Census 1990
UNG,0.001,69.696,8780,US Census 1990
ULLRICH,0.001,69.697,8781,US Census 1990
TYUS,0.001,69.698,8782,US Census 1990
TWYMAN,0.001,69.7,8783,US Census 1990
TROST,0.001,69.701,8784,US Census 1990
TARDIF,0.001,69.702,8785,US Census 1990
TANGUAY,0.001,69.703,8786,US Census 1990
STRIPLING,0.001,69.705,8787,US Census 1990
STEINBACH,0.001,69.706,8788,US Census 1990
SHUMPERT,0.001,69.707,8789,US Census 1990
SASAKI,0.001,69.708,8790,US Census 1990
SAPPINGTON,0.001,69.71,8791,US Census 1990
SANDUSKY,0.001,69.711,8792,US Census 1990
REINHOLD,0.001,69.712,8793,US Census 1990
REINERT,0.001,69.713,8794,US Census 1990
QUIJANO,0.001,69.714,8795,US Census 1990
PYE,0.001,69.716,8796,US Census 1990
POOR,0.001,69.717,8797,US Census 1990
PLACENCIA,0.001,69.718,8798,US Census 1990
PINKARD,0.001,69.719,8799,US Census 1990
PHINNEY,0.001,69.721,8800,US Census 1990
PERROTTA,0.001,69.722,8801,US Census 1990
PERNELL,0.001,69.723,8802,US Census 1990
PARRETT,0.001,69.724,8803,US Census 1990
OXENDINE,0.001,69.726,8804,US Census 1990
OWENSBY,0.001,69.727,8805,US Census 1990
ORMAN,0.001,69.728,8806,US Census 1990
NUNO,0.001,69.729,8807,US Census 1990
MORI,0.001,69.731,8808,US Census 1990
MCROBERTS,0.001,69.732,8809,US Census 1990
MCNEESE,0.001,69.733,8810,US Census 1990
MCKAMEY,0.001,69.734,8811,US Census 1990
MCCULLUM,0.001,69.736,8812,US Census 1990
MARKEL,0.001,69.737,8813,US Census 1990
MARDIS,0.001,69.738,8814,US Census 1990
MAINES,0.001,69.739,8815,US Census 1990
LUECK,0.001,69.741,8816,US Census 1990
LUBIN,0.001,69.742,8817,US Census 1990
LEFLER,0.001,69.743,8818,US Census 1990
LEFFLER,0.001,69.744,8819,US Census 1990
LAVERY,0.001,69.745,8820,US Census 1990
LARIOS,0.001,69.747,8821,US Census 1990
LABARBERA,0.001,69.748,8822,US Census 1990
KERSHNER,0.001,69.749,8823,US Census 1990
JOSEY,0.001,69.75,8824,US Census 1990
JEANBAPTISTE,0.001,69.752,8825,US Census 1990
IZAGUIRRE,0.001,69.753,8826,US Census 1990
HERMOSILLO,0.001,69.754,8827,US Census 1990
HAVILAND,0.001,69.755,8828,US Census 1990
HARTSHORN,0.001,69.757,8829,US Census 1990
HAMLET,0.001,69.758,8830,US Census 1990
HAFNER,0.001,69.759,8831,US Census 1990
GINTER,0.001,69.76,8832,US Census 1990
GETTY,0.001,69.762,8833,US Census 1990
FRANCK,0.001,69.763,8834,US Census 1990
FISKE,0.001,69.764,8835,US Census 1990
EMMETT,0.001,69.765,8836,US Census 1990
DUFRENE,0.001,69.767,8837,US Census 1990
DOODY,0.001,69.768,8838,US Census 1990
DAVIE,0.001,69.769,8839,US Census 1990
DANGERFIELD,0.001,69.77,8840,US Census 1990
DAHLBERG,0.001,69.772,8841,US Census 1990
CUTHBERTSON,0.001,69.773,8842,US Census 1990
CRONE,0.001,69.774,8843,US Census 1990
COFFELT,0.001,69.775,8844,US Census 1990
CLAUS,0.001,69.776,8845,US Census 1990
CHIDESTER,0.001,69.778,8846,US Census 1990
CHESSON,0.001,69.779,8847,US Census 1990
CAULEY,0.001,69.78,8848,US Census 1990
CAUDELL,0.001,69.781,8849,US Census 1990
CANTARA,0.001,69.783,8850,US Census 1990
CAMPO,0.001,69.784,8851,US Census 1990
CAINES,0.001,69.785,8852,US Census 1990
BULLIS,0.001,69.786,8853,US Census 1990
BUCCI,0.001,69.788,8854,US Census 1990
BROCHU,0.001,69.789,8855,US Census 1990
BOSCO,0.001,69.79,8856,US Census 1990
BOGARD,0.001,69.791,8857,US Census 1990
BICKERSTAFF,0.001,69.793,8858,US Census 1990
BENNING,0.001,69.794,8859,US Census 1990
ARZOLA,0.001,69.795,8860,US Census 1990
ANTONELLI,0.001,69.796,8861,US Census 1990
ADKINSON,0.001,69.798,8862,US Census 1990
ZELLERS,0.001,69.799,8863,US Census 1990
WULF,0.001,69.8,8864,US Census 1990
WORSLEY,0.001,69.801,8865,US Census 1990
WOOLRIDGE,0.001,69.802,8866,US Census 1990
WHITTON,0.001,69.804,8867,US Census 1990
WESTERFIELD,0.001,69.805,8868,US Census 1990
WALCZAK,0.001,69.806,8869,US Census 1990
VASSAR,0.001,69.807,8870,US Census 1990
TRUETT,0.001,69.809,8871,US Census 1990
TRUEBLOOD,0.001,69.81,8872,US Census 1990
TRAWICK,0.001,69.811,8873,US Census 1990
TOWNSLEY,0.001,69.812,8874,US Census 1990
TOPPING,0.001,69.813,8875,US Census 1990
TOBAR,0.001,69.815,8876,US Census 1990
TELFORD,0.001,69.816,8877,US Census 1990
SUNG,0.001,69.817,8878,US Census 1990
STEVERSON,0.001,69.818,8879,US Census 1990
STAGG,0.001,69.82,8880,US Census 1990
SITTON,0.001,69.821,8881,US Census 1990
SILL,0.001,69.822,8882,US Census 1990
SHERRELL,0.001,69.823,8883,US Census 1990
SERGENT,0.001,69.824,8884,US Census 1990
SCHOENFELD,0.001,69.826,8885,US Census 1990
SARABIA,0.001,69.827,8886,US Census 1990
RUTKOWSKI,0.001,69.828,8887,US Census 1990
RUBENSTEIN,0.001,69.829,8888,US Census 1990
RIGDON,0.001,69.831,8889,US Census 1990
PRENTISS,0.001,69.832,8890,US Census 1990
POMERLEAU,0.001,69.833,8891,US Census 1990
PLUMLEE,0.001,69.834,8892,US Census 1990
PHOENIX,0.001,69.835,8893,US Census 1990
PHILBRICK,0.001,69.837,8894,US Census 1990
PEER,0.001,69.838,8895,US Census 1990
PATTY,0.001,69.839,8896,US Census 1990
PATNODE,0.001,69.84,8897,US Census 1990
OLOUGHLIN,0.001,69.842,8898,US Census 1990
OBREGON,0.001,69.843,8899,US Census 1990
NUSS,0.001,69.844,8900,US Census 1990
NAPOLEON,0.001,69.845,8901,US Census 1990
MORELL,0.001,69.847,8902,US Census 1990
MOOSE,0.001,69.848,8903,US Census 1990
MIKELL,0.001,69.849,8904,US Census 1990
MELE,0.001,69.85,8905,US Census 1990
MCINERNEY,0.001,69.851,8906,US Census 1990
MCGUIGAN,0.001,69.853,8907,US Census 1990
MCBRAYER,0.001,69.854,8908,US Census 1990
LORE,0.001,69.855,8909,US Census 1990
LOR,0.001,69.856,8910,US Census 1990
LOOK,0.001,69.858,8911,US Census 1990
LOLLAR,0.001,69.859,8912,US Census 1990
LAKES,0.001,69.86,8913,US Census 1990
KUEHL,0.001,69.861,8914,US Census 1990
KINZER,0.001,69.862,8915,US Census 1990
KAMP,0.001,69.864,8916,US Census 1990
JOPLIN,0.001,69.865,8917,US Census 1990
JACOBI,0.001,69.866,8918,US Census 1990
HOWELLS,0.001,69.867,8919,US Census 1990
HOLSTEIN,0.001,69.869,8920,US Census 1990
HEDDEN,0.001,69.87,8921,US Census 1990
HASSLER,0.001,69.871,8922,US Census 1990
HARTY,0.001,69.872,8923,US Census 1990
HALLE,0.001,69.873,8924,US Census 1990
GREIG,0.001,69.875,8925,US Census 1990
GRANVILLE,0.001,69.876,8926,US Census 1990
GOUGE,0.001,69.877,8927,US Census 1990
GOODRUM,0.001,69.878,8928,US Census 1990
GERHART,0.001,69.88,8929,US Census 1990
GEIER,0.001,69.881,8930,US Census 1990
GEDDES,0.001,69.882,8931,US Census 1990
GAST,0.001,69.883,8932,US Census 1990
FOREHAND,0.001,69.884,8933,US Census 1990
FERREE,0.001,69.886,8934,US Census 1990
FENDLEY,0.001,69.887,8935,US Census 1990
FELTNER,0.001,69.888,8936,US Census 1990
FANG,0.001,69.889,8937,US Census 1990
ESQUEDA,0.001,69.891,8938,US Census 1990
ENCARNACION,0.001,69.892,8939,US Census 1990
EICHLER,0.001,69.893,8940,US Census 1990
EGGER,0.001,69.894,8941,US Census 1990
EDMUNDSON,0.001,69.895,8942,US Census 1990
EATMON,0.001,69.897,8943,US Census 1990
DRAGON,0.001,69.898,8944,US Census 1990
DOUD,0.001,69.899,8945,US Census 1990
DONOHOE,0.001,69.9,8946,US Census 1990
DONELSON,0.001,69.902,8947,US Census 1990
DILORENZO,0.001,69.903,8948,US Census 1990
DIGIACOMO,0.001,69.904,8949,US Census 1990
DIGGINS,0.001,69.905,8950,US Census 1990
DELOZIER,0.001,69.906,8951,US Census 1990
DEJONG,0.001,69.908,8952,US Census 1990
DANFORD,0.001,69.909,8953,US Census 1990
CRIPPEN,0.001,69.91,8954,US Census 1990
COPPAGE,0.001,69.911,8955,US Census 1990
COGSWELL,0.001,69.913,8956,US Census 1990
CLARDY,0.001,69.914,8957,US Census 1990
CIOFFI,0.001,69.915,8958,US Census 1990
CABE,0.001,69.916,8959,US Census 1990
BRUNETTE,0.001,69.918,8960,US Census 1990
BRESNAHAN,0.001,69.919,8961,US Census 1990
BRAMBLE,0.001,69.92,8962,US Census 1990
BLOMQUIST,0.001,69.921,8963,US Census 1990
BLACKSTONE,0.001,69.922,8964,US Census 1990
BILLER,0.001,69.924,8965,US Census 1990
BEVIS,0.001,69.925,8966,US Census 1990
BEVAN,0.001,69.926,8967,US Census 1990
BETHUNE,0.001,69.927,8968,US Census 1990
BENBOW,0.001,69.929,8969,US Census 1990
BATY,0.001,69.93,8970,US Census 1990
BASINGER,0.001,69.931,8971,US Census 1990
BALCOM,0.001,69.932,8972,US Census 1990
ANDES,0.001,69.933,8973,US Census 1990
AMAN,0.001,69.935,8974,US Census 1990
AGUERO,0.001,69.936,8975,US Census 1990
ADKISSON,0.001,69.937,8976,US Census 1990
YANDELL,0.001,69.938,8977,US Census 1990
WILDS,0.001,69.94,8978,US Census 1990
WHISENHUNT,0.001,69.941,8979,US Census 1990
WEIGAND,0.001,69.942,8980,US Census 1990
WEEDEN,0.001,69.943,8981,US Census 1990
VOIGHT,0.001,69.944,8982,US Census 1990
VILLAR,0.001,69.946,8983,US Census 1990
TROTTIER,0.001,69.947,8984,US Census 1990
TILLETT,0.001,69.948,8985,US Census 1990
SUAZO,0.001,69.949,8986,US Census 1990
SETSER,0.001,69.95,8987,US Census 1990
SCURRY,0.001,69.952,8988,US Census 1990
SCHUH,0.001,69.953,8989,US Census 1990
SCHRECK,0.001,69.954,8990,US Census 1990
SCHAUER,0.001,69.955,8991,US Census 1990
SAMORA,0.001,69.956,8992,US Census 1990
ROANE,0.001,69.958,8993,US Census 1990
RINKER,0.001,69.959,8994,US Census 1990
REIMERS,0.001,69.96,8995,US Census 1990
REASON,0.001,69.961,8996,US Census 1990
RATCHFORD,0.001,69.962,8997,US Census 1990
POPOVICH,0.001,69.964,8998,US Census 1990
PARKIN,0.001,69.965,8999,US Census 1990
NICHOL,0.001,69.966,9000,US Census 1990
NATAL,0.001,69.967,9001,US Census 1990
MELVILLE,0.001,69.969,9002,US Census 1990
MCBRYDE,0.001,69.97,9003,US Census 1990
MAGDALENO,0.001,69.971,9004,US Census 1990
LOEHR,0.001,69.972,9005,US Census 1990
LOCKMAN,0.001,69.973,9006,US Census 1990
LINGO,0.001,69.975,9007,US Census 1990
LEDUC,0.001,69.976,9008,US Census 1990
LAROCCA,0.001,69.977,9009,US Census 1990
LAO,0.001,69.978,9010,US Census 1990
LAMERE,0.001,69.979,9011,US Census 1990
LACLAIR,0.001,69.981,9012,US Census 1990
KRALL,0.001,69.982,9013,US Census 1990
KORTE,0.001,69.983,9014,US Census 1990
KOGER,0.001,69.984,9015,US Census 1990
JUMPER,0.001,69.985,9016,US Census 1990
JALBERT,0.001,69.987,9017,US Census 1990
HUGHS,0.001,69.988,9018,US Census 1990
HIGBEE,0.001,69.989,9019,US Census 1990
HENTON,0.001,69.99,9020,US Census 1990
HEANEY,0.001,69.991,9021,US Census 1990
HAITH,0.001,69.993,9022,US Census 1990
GUMP,0.001,69.994,9023,US Census 1990
GREESON,0.001,69.995,9024,US Census 1990
GOODLOE,0.001,69.996,9025,US Census 1990
GHOLSTON,0.001,69.998,9026,US Census 1990
GASPER,0.001,69.999,9027,US Census 1990
GAGLIARDI,0.001,70.0,9028,US Census 1990
FREGOSO,0.001,70.001,9029,US Census 1990
FARTHING,0.001,70.002,9030,US Census 1990
FABRIZIO,0.001,70.004,9031,US Census 1990
ENSOR,0.001,70.005,9032,US Census 1990
ELSWICK,0.001,70.006,9033,US Census 1990
ELGIN,0.001,70.007,9034,US Census 1990
EKLUND,0.001,70.008,9035,US Census 1990
EADDY,0.001,70.01,9036,US Census 1990
DROUIN,0.001,70.011,9037,US Census 1990
DORTON,0.001,70.012,9038,US Census 1990
DIZON,0.001,70.013,9039,US Census 1990
DEROUEN,0.001,70.014,9040,US Census 1990
DELIA,0.001,70.016,9041,US Census 1990
DEHERRERA,0.001,70.017,9042,US Census 1990
DAVY,0.001,70.018,9043,US Census 1990
DARK,0.001,70.019,9044,US Census 1990
DAMPIER,0.001,70.02,9045,US Census 1990
CULLUM,0.001,70.022,9046,US Census 1990
CULLEY,0.001,70.023,9047,US Census 1990
COWGILL,0.001,70.024,9048,US Census 1990
CARDOSO,0.001,70.025,9049,US Census 1990
CARDINALE,0.001,70.027,9050,US Census 1990
BRODSKY,0.001,70.028,9051,US Census 1990
BROADBENT,0.001,70.029,9052,US Census 1990
BRIMMER,0.001,70.03,9053,US Census 1990
BRICENO,0.001,70.031,9054,US Census 1990
BRANSCUM,0.001,70.033,9055,US Census 1990
BOLYARD,0.001,70.034,9056,US Census 1990
BOLEY,0.001,70.035,9057,US Census 1990
BENNINGTON,0.001,70.036,9058,US Census 1990
BEADLE,0.001,70.037,9059,US Census 1990
BAUR,0.001,70.039,9060,US Census 1990
BALLENTINE,0.001,70.04,9061,US Census 1990
AZURE,0.001,70.041,9062,US Census 1990
AULTMAN,0.001,70.042,9063,US Census 1990
AUGUSTUS,0.001,70.043,9064,US Census 1990
ASUNCION,0.001,70.045,9065,US Census 1990
ARCINIEGA,0.001,70.046,9066,US Census 1990
AGUILA,0.001,70.047,9067,US Census 1990
ACEVES,0.001,70.048,9068,US Census 1990
YEPEZ,0.001,70.049,9069,US Census 1990
YAP,0.001,70.051,9070,US Census 1990
WOODRUM,0.001,70.052,9071,US Census 1990
WETHINGTON,0.001,70.053,9072,US Census 1990
WEISSMAN,0.001,70.054,9073,US Census 1990
VELOZ,0.001,70.055,9074,US Census 1990
TRUSTY,0.001,70.057,9075,US Census 1990
TROUP,0.001,70.058,9076,US Census 1990
TRAMMEL,0.001,70.059,9077,US Census 1990
THEODORE,0.001,70.06,9078,US Census 1990
TARPLEY,0.001,70.061,9079,US Census 1990
STIVERS,0.001,70.063,9080,US Census 1990
STECK,0.001,70.064,9081,US Census 1990
SPRAYBERRY,0.001,70.065,9082,US Census 1990
SPRAGGINS,0.001,70.066,9083,US Census 1990
SPITLER,0.001,70.067,9084,US Census 1990
SPIERS,0.001,70.069,9085,US Census 1990
SOHN,0.001,70.07,9086,US Census 1990
SEAGRAVES,0.001,70.071,9087,US Census 1990
SCHIFFMAN,0.001,70.072,9088,US Census 1990
RUDNICK,0.001,70.073,9089,US Census 1990
RIZO,0.001,70.074,9090,US Census 1990
RICCIO,0.001,70.076,9091,US Census 1990
RENNIE,0.001,70.077,9092,US Census 1990
QUINTON,0.001,70.078,9093,US Census 1990
QUACKENBUSH,0.001,70.079,9094,US Census 1990
PUMA,0.001,70.08,9095,US Census 1990
PLOTT,0.001,70.082,9096,US Census 1990
PEARCY,0.001,70.083,9097,US Census 1990
PARADA,0.001,70.084,9098,US Census 1990
PAIZ,0.001,70.085,9099,US Census 1990
MUNFORD,0.001,70.086,9100,US Census 1990
MOSKOWITZ,0.001,70.088,9101,US Census 1990
MEASE,0.001,70.089,9102,US Census 1990
MCNARY,0.001,70.09,9103,US Census 1990
MCCUSKER,0.001,70.091,9104,US Census 1990
MATT,0.001,70.092,9105,US Census 1990
LOZOYA,0.001,70.094,9106,US Census 1990
LONGMIRE,0.001,70.095,9107,US Census 1990
LOESCH,0.001,70.096,9108,US Census 1990
LASKY,0.001,70.097,9109,US Census 1990
KUHLMANN,0.001,70.098,9110,US Census 1990
KRIEG,0.001,70.1,9111,US Census 1990
KOZIOL,0.001,70.101,9112,US Census 1990
KOWALEWSKI,0.001,70.102,9113,US Census 1990
KONRAD,0.001,70.103,9114,US Census 1990
KINDLE,0.001,70.104,9115,US Census 1990
JOWERS,0.001,70.105,9116,US Census 1990
JOLIN,0.001,70.107,9117,US Census 1990
JACO,0.001,70.108,9118,US Census 1990
HUA,0.001,70.109,9119,US Census 1990
HORGAN,0.001,70.11,9120,US Census 1990
HINE,0.001,70.111,9121,US Census 1990
HILEMAN,0.001,70.113,9122,US Census 1990
HEPNER,0.001,70.114,9123,US Census 1990
HEISE,0.001,70.115,9124,US Census 1990
HEADY,0.001,70.116,9125,US Census 1990
HAWKINSON,0.001,70.117,9126,US Census 1990
HANNIGAN,0.001,70.119,9127,US Census 1990
HABERMAN,0.001,70.12,9128,US Census 1990
GUILFORD,0.001,70.121,9129,US Census 1990
GRIMALDI,0.001,70.122,9130,US Census 1990
GILLES,0.001,70.123,9131,US Census 1990
GARTON,0.001,70.125,9132,US Census 1990
GAGLIANO,0.001,70.126,9133,US Census 1990
FRUGE,0.001,70.127,9134,US Census 1990
FOLLETT,0.001,70.128,9135,US Census 1990
FISCUS,0.001,70.129,9136,US Census 1990
FERRETTI,0.001,70.131,9137,US Census 1990
EBNER,0.001,70.132,9138,US Census 1990
EASTERDAY,0.001,70.133,9139,US Census 1990
EANES,0.001,70.134,9140,US Census 1990
DIRKS,0.001,70.135,9141,US Census 1990
DIMARCO,0.001,70.136,9142,US Census 1990
DEPALMA,0.001,70.138,9143,US Census 1990
DEFOREST,0.001,70.139,9144,US Census 1990
DANCE,0.001,70.14,9145,US Census 1990
CRUCE,0.001,70.141,9146,US Census 1990
CRAIGHEAD,0.001,70.142,9147,US Census 1990
CHRISTNER,0.001,70.144,9148,US Census 1990
CANDLER,0.001,70.145,9149,US Census 1990
CADWELL,0.001,70.146,9150,US Census 1990
BURCHELL,0.001,70.147,9151,US Census 1990
BUETTNER,0.001,70.148,9152,US Census 1990
BRINTON,0.001,70.15,9153,US Census 1990
BREED,0.001,70.151,9154,US Census 1990
BRAZIER,0.001,70.152,9155,US Census 1990
BRANNEN,0.001,70.153,9156,US Census 1990
BRAME,0.001,70.154,9157,US Census 1990
BOVA,0.001,70.156,9158,US Census 1990
BOMAR,0.001,70.157,9159,US Census 1990
