full_name,birth_date,death_date,debut_year,final_year,source,birth_year,player_url,first_name,last_name,nickname
Charlie Gibson,11-21-1899,12-18-1990,1924,1924,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=gibsoch02,Charlie,Gibson,Charlie
Sam Gibson,08-05-1899,01-31-1983,1926,1932,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=gibsosa01,Sam,Gibson,Sam
George Gilham,09-17-1899,04-25-1937,1920,1921,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=gilhage01,George,Gilham,None
Haddie Gill,01-23-1899,08-01-1932,1923,1923,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=gillha01,Haddie,Gill,None
Skinny Graham,08-14-1899,12-01-1973,1924,1929,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=grahask01,Skinny,Graham,Skinny
June Greene,06-25-1899,03-19-1974,1928,1929,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=greenju01,June,Greene,June
Nelson Greene,09-20-1899,05-06-1983,1924,1925,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=greenne01,Nelson,Greene,Lefty
Tom Gulley,12-25-1899,11-24-1966,1923,1926,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=gulleto01,Tom,Gulley,Tom
Joe Hauser,01-12-1899,07-11-1997,1922,1929,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=hausejo01,Joe,Hauser,Joe or Unser Choe
Jake Hehl,12-10-1899,07-04-1961,1918,1918,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=hehlja01,Jake,Hehl,Jake
Bernie Henderson,04-12-1899,06-06-1966,1921,1921,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=hendebe01,Bernie,Henderson,Barnyard or Bernie
Lafayette Henion,06-07-1899,07-22-1955,1919,1919,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=heniola01,Lafayette,Henion,None
Fritz Henrich,05-08-1899,05-01-1959,1924,1924,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=henrifr01,Fritz,Henrich,Fritz
Al Hermann,03-28-1899,08-20-1980,1923,1924,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=hermaal01,Al,Hermann,Al
Ed Hock,03-27-1899,11-21-1963,1920,1924,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=hocked01,Ed,Hock,Ed
Ed Holley,07-23-1899,10-26-1986,1928,1934,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=holleed01,Ed,Holley,Ed
Trader Horne,04-12-1899,02-03-1983,1929,1929,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=hornetr01,Trader,Horne,Sonny
Waite Hoyt,09-09-1899,08-25-1984,1918,1938,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=hoytwa01,Waite,Hoyt,Schoolboy
Harry Hulihan,04-18-1899,09-11-1980,1922,1922,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=hulihha01,Harry,Hulihan,None
Bill Hunnefield,01-05-1899,08-28-1976,1926,1931,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=hunnebi01,Bill,Hunnefield,Bill or Wild Bill
Walt Huntzinger,02-06-1899,08-11-1981,1923,1926,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=huntzwa01,Walt,Huntzinger,Shakes
Augie Johns,09-10-1899,09-12-1975,1926,1927,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=johnsau01,Augie,Johns,Augie or Lefty
Ed Johnson,03-31-1899,07-03-1975,1920,1920,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=johnsed01,Ed,Johnson,Ed
Fred Johnston,07-09-1899,05-15-1959,1924,1924,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=johnsfr02,Fred,Johnston,Fred
Binky Jones,07-11-1899,05-13-1961,1924,1924,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=jonesbi03,Binky,Jones,None
Percy Jones,10-28-1899,03-18-1979,1920,1930,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=jonespe01,Percy,Jones,None
Ike Kahdot,10-22-1899,03-31-1999,1922,1922,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=kahdoik01,Ike,Kahdot,Chief or Ike
Cactus Keck,01-13-1899,02-06-1981,1922,1923,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=keckca01,Cactus,Keck,None
Vic Keen,03-16-1899,12-10-1976,1918,1927,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=keenvi01,Vic,Keen,None
Frank Kelliher,05-23-1899,03-04-1956,1919,1919,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=kellifr01,Frank,Kelliher,Frank or Yucca
Ren Kelly,11-18-1899,08-24-1963,1923,1923,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=kellyre02,Ren,Kelly,None
Dutch Kemner,03-04-1899,01-16-1988,1929,1929,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=kemnedu01,Dutch,Kemner,Dutch
Joe Kiefer,07-19-1899,07-05-1975,1920,1926,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=kiefejo01,Joe,Kiefer,Harlem Joe
Bob Kinsella,01-05-1899,12-30-1951,1919,1920,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=kinsebo01,Bob,Kinsella,Red
Ted Kleinhans,04-08-1899,07-24-1985,1934,1938,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=kleinte01,Ted,Kleinhans,Ted
Rudy Kneisch,04-10-1899,04-06-1965,1926,1926,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=kneisru01,Rudy,Kneisch,Rudy
Wally Kopf,07-10-1899,04-30-1979,1921,1921,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=kopfwa01,Wally,Kopf,Wally
Bub Kuhn,10-12-1899,11-20-1956,1924,1924,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=kuhnbu01,Bub,Kuhn,None
Bob Lawrence,12-14-1899,11-06-1983,1924,1924,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=lawrebo01,Bob,Lawrence,Bob
Dud Lee,08-22-1899,01-07-1971,1920,1926,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=leedu01,Dud,Lee,Dud
Jim Lindsey,01-24-1899,10-25-1963,1922,1937,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=lindsji01,Jim,Lindsey,Jim
Del Lundgren,09-21-1899,10-19-1984,1924,1927,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=lundgde01,Del,Lundgren,Del
Waddy Macphee,12-23-1899,01-20-1980,1922,1922,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=macphwa01,Waddy,Macphee,Waddy
Freddie Maguire,05-10-1899,11-03-1961,1922,1931,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=maguifr01,Freddie,Maguire,Freddie
Buckshot May,12-13-1899,03-15-1984,1924,1924,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=maybu01,Buckshot,May,None
Harry McCurdy,09-15-1899,07-21-1972,1922,1934,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=mccurha01,Harry,McCurdy,Hank
Frank McGee,04-29-1899,01-30-1934,1925,1925,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=mcgeefr01,Frank,McGee,Frank
Slim McGrew,08-05-1899,08-21-1967,1922,1924,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=mcgresl01,Slim,McGrew,Slim
Pat McNulty,02-27-1899,05-04-1963,1922,1927,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=mcnulpa01,Pat,McNulty,Pat
Herb McQuaid,03-29-1899,04-04-1966,1923,1926,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=mcquahe01,Herb,McQuaid,Herb
Ski Melillo,08-04-1899,11-14-1963,1926,1937,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=melilsk01,Ski,Melillo,Ski or Spinach
Lenny Metz,07-06-1899,02-24-1953,1923,1925,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=metzle01,Lenny,Metz,Lenny
Ralph Miller,01-14-1899,02-18-1967,1921,1921,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=millera04,Ralph,Miller,Moose
Leo Moon,06-22-1899,08-25-1970,1932,1932,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=moonle01,Leo,Moon,Lefty
Eddie Moore,01-18-1899,02-10-1976,1923,1934,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=mooreed01,Eddie,Moore,Eddie
Ray Morehart,12-02-1899,01-13-1989,1924,1927,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=morehra01,Ray,Morehart,Ray
Ed Morris,12-07-1899,03-03-1932,1922,1931,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=morried02,Ed,Morris,Big Ed
Heinie Mueller,09-16-1899,01-23-1975,1920,1935,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=muellhe01,Heinie,Mueller,Heinie
Joe Munson,11-06-1899,02-24-1991,1925,1926,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=munsojo01,Joe,Munson,Joe
Charlie Niebergall,05-23-1899,08-29-1982,1921,1924,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=niebech01,Charlie,Niebergall,Nig
Al Niehaus,06-01-1899,10-14-1931,1925,1925,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=niehaal01,Al,Niehaus,Al
Skinny O'Neal,05-02-1899,06-02-1981,1925,1927,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=oneask01,Skinny,O'Neal,Skinny
Ernie Padgett,03-01-1899,04-15-1957,1923,1927,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=padgeer01,Ernie,Padgett,Red
Eddie Pick,05-07-1899,05-13-1967,1923,1927,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=picked01,Eddie,Pick,Eddie
Urbane Pickering,06-03-1899,05-13-1970,1931,1932,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=pickeur01,Urbane,Pickering,Pick
William Pierson,06-14-1899,02-20-1959,1918,1924,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=pierswi01,William,Pierson,None
Lerton Pinto,04-08-1899,05-13-1983,1922,1924,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=pintole01,Lerton,Pinto,None
George Pipgras,12-20-1899,10-19-1986,1923,1935,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=pipgrge01,George,Pipgras,The Danish Viking
Pinky Pittenger,02-24-1899,11-04-1977,1921,1929,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=pittipi01,Pinky,Pittenger,Pinky
Nellie Pott,07-16-1899,12-03-1963,1922,1922,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=pottne01,Nellie,Pott,Lefty or Nellie
Stan Rees,02-25-1899,08-29-1937,1918,1918,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=reesst01,Stan,Rees,Nellie
Bill Regan,01-23-1899,06-11-1968,1926,1931,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=reganbi01,Bill,Regan,Bill
Art Reinhart,05-29-1899,11-11-1946,1919,1928,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=reinhar01,Art,Reinhart,Art
Hal Rhyne,03-30-1899,01-07-1971,1926,1933,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=rhyneha01,Hal,Rhyne,Hal
Bob Rice,05-28-1899,02-20-1986,1926,1926,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=ricebo01,Bob,Rice,Bob
Tink Riviere,08-02-1899,09-27-1965,1921,1925,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=rivieti01,Tink,Riviere,Tink
Gene Robertson,12-25-1899,10-21-1981,1919,1930,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=roberge01,Gene,Robertson,Gene
Charlie Root,03-17-1899,11-05-1970,1923,1941,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=rootch01,Charlie,Root,Charlie or Chinski
Chuck Rowland,07-23-1899,01-21-1992,1923,1923,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=rowlach01,Chuck,Rowland,Chuck
Karl Schnell,09-20-1899,05-31-1992,1922,1923,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=schneka01,Karl,Schnell,None
Joe Shaute,08-01-1899,02-21-1970,1922,1934,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=shautjo01,Joe,Shaute,Lefty
Tripp Sigman,01-17-1899,03-08-1971,1929,1930,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=sigmatr01,Tripp,Sigman,None
Ernie Smith,10-11-1899,04-06-1973,1930,1930,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=smither01,Ernie,Smith,Kansas City Kid
Don Songer,01-31-1899,10-03-1962,1924,1927,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=songedo01,Don,Songer,Don
Gale Staley,05-02-1899,04-19-1989,1925,1925,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=stalega01,Gale,Staley,None
Lil Stoner,02-28-1899,06-26-1966,1922,1931,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=stoneli01,Lil,Stoner,None
George Stueland,03-02-1899,09-09-1964,1921,1925,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=stuelge01,George,Stueland,None
Guy Sturdy,08-07-1899,05-04-1965,1927,1928,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=sturdgu01,Guy,Sturdy,None
Lena Styles,11-27-1899,03-14-1956,1919,1931,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=stylele01,Lena,Styles,None
Augie Swentor,11-21-1899,11-10-1969,1922,1922,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=swentau01,Augie,Swentor,Augie
Tommy Thomas,12-23-1899,04-27-1988,1926,1937,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=thomato02,Tommy,Thomas,Tommy
Sloppy Thurston,06-02-1899,09-14-1973,1923,1933,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=thurssl01,Sloppy,Thurston,Sloppy
Specs Toporcer,02-09-1899,05-17-1989,1921,1928,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=toporsp01,Specs,Toporcer,Specs
Dutch Ulrich,11-18-1899,02-11-1929,1925,1927,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=ulricdu01,Dutch,Ulrich,Dutch
Bill Vargus,11-11-1899,02-12-1979,1925,1926,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=vargubi01,Bill,Vargus,Bill
Otto Vogel,10-26-1899,07-19-1969,1923,1924,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=vogelot01,Otto,Vogel,None
Ollie Voigt,01-29-1899,04-07-1970,1924,1924,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=voigtol01,Ollie,Voigt,Ode or Ollie
Marty Walker,03-27-1899,04-24-1978,1928,1928,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=walkema01,Marty,Walker,Buddy
Allie Watt,12-12-1899,03-15-1968,1920,1920,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=wattal01,Allie,Watt,Allie
Tony Welzer,04-05-1899,03-18-1971,1926,1927,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=welzeto01,Tony,Welzer,Tony
Earl Whitehill,02-07-1899,10-22-1954,1923,1939,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=whiteea01,Earl,Whitehill,None
Ted Wingfield,08-07-1899,07-18-1975,1923,1927,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=wingfte01,Ted,Wingfield,Ted
Clarence Winters,09-07-1899,06-29-1945,1924,1924,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=wintecl01,Clarence,Winters,None
Jack Wisner,11-05-1899,12-15-1981,1919,1926,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=wisneja01,Jack,Wisner,Jack
Hoge Workman,09-25-1899,05-20-1972,1924,1924,Baseball Almanac,1899,https://www.baseball-almanac.com/players/player.php?p=workmho01,Hoge,Workman,Hoge
