birth_date,birth_first_name,birth_last_name,birth_middle_name,birth_name,birth_year,death_date,debut_year,final_year,first_name,full_name,last_name,nickname,nicknames,player_url,source
01-29-1890,,,,,1890,05-01-1926,1911,1911,Ed,Ed Conwell,Conwell,Irish,,https://www.baseball-almanac.com/players/player.php?p=conweed01,Baseball Almanac
10-05-1890,,,,,1890,08-11-1975,1915,1915,Rollin,Rollin Cook,Cook,,,https://www.baseball-almanac.com/players/player.php?p=cookro01,Baseball Almanac
08-23-1890,,,,,1890,03-30-1940,1912,1912,Roy,Roy Crabb,Crabb,,,https://www.baseball-almanac.com/players/player.php?p=crabbro01,Baseball Almanac
05-06-1890,,,,,1890,01-09-1975,1914,1924,Walton,Walton Cruise,Cruise,,,https://www.baseball-almanac.com/players/player.php?p=cruiswa01,Baseball Almanac
09-08-1890,,,,,1890,12-27-1976,1913,1914,Press,Press Cruthers,Cruthers,,,https://www.baseball-almanac.com/players/player.php?p=cruthpr01,Baseball Almanac
09-11-1890,,,,,1890,08-21-1957,1915,1915,Harry,Harry Damrau,Damrau,,,https://www.baseball-almanac.com/players/player.php?p=damraha01,Baseball Almanac
03-07-1890,,,,,1890,09-19-1970,1911,1925,Dave,Dave Danforth,Danforth,Dave or Dauntless Dave,,https://www.baseball-almanac.com/players/player.php?p=danfoda01,Baseball Almanac
02-20-1890,,,,,1890,10-16-1954,1914,1919,Dave,Dave Davenport,Davenport,Dave or Long Dave,,https://www.baseball-almanac.com/players/player.php?p=davenda01,Baseball Almanac
10-12-1890,,,,,1890,02-04-1944,1912,1926,Dixie,Dixie Davis,Davis,Dixie,,https://www.baseball-almanac.com/players/player.php?p=davisdi01,Baseball Almanac
03-09-1890,,,,,1890,06-04-1961,1912,1915,George,George Davis,Davis,Iron,,https://www.baseball-almanac.com/players/player.php?p=davisge02,Baseball Almanac
06-05-1890,,,,,1890,11-04-1949,1915,1915,Larry,Larry Douglas,Douglas,Larry,,https://www.baseball-almanac.com/players/player.php?p=douglla01,Baseball Almanac
06-17-1890,,,,,1890,08-01-1952,1912,1922,Phil,Phil Douglas,Douglas,Shufflin' Phil,,https://www.baseball-almanac.com/players/player.php?p=douglph01,Baseball Almanac
01-06-1890,,,,,1890,06-01-1954,1913,1915,Vern,Vern Duncan,Duncan,Vern,,https://www.baseball-almanac.com/players/player.php?p=duncave01,Baseball Almanac
11-10-1890,,,,,1890,11-30-1969,1913,1921,Eddie,Eddie Eayrs,Eayrs,Eddie,,https://www.baseball-almanac.com/players/player.php?p=eayrsed01,Baseball Almanac
08-23-1890,,,,,1890,11-13-1958,1913,1913,Heinie,Heinie Elder,Elder,Heinie,,https://www.baseball-almanac.com/players/player.php?p=elderhe01,Baseball Almanac
07-08-1890,,,,,1890,02-12-1934,1910,1920,Rowdy,Rowdy Elliott,Elliott,,,https://www.baseball-almanac.com/players/player.php?p=ellioro01,Baseball Almanac
03-04-1890,,,,,1890,03-14-1984,1914,1920,Johnny,Johnny Enzmann,Enzmann,Gentleman John or Johnny,,https://www.baseball-almanac.com/players/player.php?p=enzmajo01,Baseball Almanac
03-10-1890,,,,,1890,06-10-1967,1914,1914,Pete,Pete Fahrer,Fahrer,Pete,,https://www.baseball-almanac.com/players/player.php?p=fahrepe01,Baseball Almanac
10-29-1890,,,,,1890,02-03-1942,1912,1918,Happy,Happy Finneran,Finneran,Happy or Smokey Joe,,https://www.baseball-almanac.com/players/player.php?p=finneha01,Baseball Almanac
04-06-1890,,,,,1890,12-20-1971,1919,1919,Tom,Tom Fitzsimmons,Fitzsimmons,Tom,,https://www.baseball-almanac.com/players/player.php?p=fitzsto01,Baseball Almanac
02-05-1890,,,,,1890,07-31-1975,1914,1925,Max,Max Flack,Flack,,,https://www.baseball-almanac.com/players/player.php?p=flackma01,Baseball Almanac
09-30-1890,,,,,1890,11-04-1974,1913,1915,Harry,Harry Fritz,Fritz,Dutchman,,https://www.baseball-almanac.com/players/player.php?p=fritzha01,Baseball Almanac
07-06-1890,,,,,1890,10-19-1950,1913,1913,Lefty,Lefty Gervais,Gervais,Lefty,,https://www.baseball-almanac.com/players/player.php?p=gervale01,Baseball Almanac
09-27-1890,,,,,1890,04-27-1961,1913,1927,Frank,Frank Gibson,Gibson,,,https://www.baseball-almanac.com/players/player.php?p=gibsofr01,Baseball Almanac
06-09-1890,,,,,1890,10-12-1918,1915,1915,Harry,Harry Glenn,Glenn,Husky,,https://www.baseball-almanac.com/players/player.php?p=glennha01,Baseball Almanac
09-24-1890,,,,,1890,02-19-1977,1912,1932,Mike,Mike Gonzalez,Gonzalez,Mike,,https://www.baseball-almanac.com/players/player.php?p=gonzami01,Baseball Almanac
02-23-1890,,,,,1890,05-18-1966,1915,1917,Lee,Lee Gooch,Gooch,,,https://www.baseball-almanac.com/players/player.php?p=goochle01,Baseball Almanac
08-21-1890,,,,,1890,10-06-1962,1913,1914,Dick,Dick Gossett,Gossett,Dick,,https://www.baseball-almanac.com/players/player.php?p=gossedi01,Baseball Almanac
06-20-1890,,,,,1890,05-24-1971,1913,1913,Charlie,Charlie Grover,Grover,Bugs,,https://www.baseball-almanac.com/players/player.php?p=grovech01,Baseball Almanac
09-18-1890,,,,,1890,01-25-1970,1912,1912,Harvey,Harvey Grubb,Grubb,,,https://www.baseball-almanac.com/players/player.php?p=grubbha01,Baseball Almanac
11-23-1890,,,,,1890,01-22-1973,1914,1918,Al,Al Halt,Halt,Al,,https://www.baseball-almanac.com/players/player.php?p=haltal01,Baseball Almanac
07-31-1890,,,,,1890,04-30-1971,1912,1912,Slim,Slim Harrell,Harrell,Slim,,https://www.baseball-almanac.com/players/player.php?p=harresl01,Baseball Almanac
09-19-1890,,,,,1890,02-10-1955,1913,1913,Ray,Ray Hartranft,Hartranft,Ray,,https://www.baseball-almanac.com/players/player.php?p=hartrra01,Baseball Almanac
02-14-1890,,,,,1890,08-13-1967,1912,1913,Mike,Mike Hechinger,Hechinger,Mike,,https://www.baseball-almanac.com/players/player.php?p=hechimi01,Baseball Almanac
10-09-1890,,,,,1890,03-18-1955,1915,1915,Ty,Ty Helfrich,Helfrich,,,https://www.baseball-almanac.com/players/player.php?p=helfrty01,Baseball Almanac
10-03-1890,,,,,1890,11-16-1923,1913,1913,Fred,Fred House,House,Fred,,https://www.baseball-almanac.com/players/player.php?p=housefr02,Baseball Almanac
08-05-1890,,,,,1890,07-16-1944,1914,1914,Hal,Hal Irelan,Irelan,Grump or Hal,,https://www.baseball-almanac.com/players/player.php?p=irelaha01,Baseball Almanac
08-16-1890,,,,,1890,01-16-1977,1915,1927,Baby,Baby Doll Jacobson,Jacobson,Baby Doll,,https://www.baseball-almanac.com/players/player.php?p=jacobba01,Baseball Almanac
04-09-1890,,,,,1890,04-01-1948,1912,1912,Heinie,Heinie Jantzen,Jantzen,Heinie,,https://www.baseball-almanac.com/players/player.php?p=jantzhe01,Baseball Almanac
10-12-1890,,,,,1890,06-21-1974,1914,1919,Joe,Joe Jenkins,Jenkins,Joe,,https://www.baseball-almanac.com/players/player.php?p=jenkijo01,Baseball Almanac
03-28-1890,,,,,1890,03-07-1940,1913,1913,Johnny,Johnny Johnston,Johnston,Johnny,,https://www.baseball-almanac.com/players/player.php?p=johnsjo02,Baseball Almanac
01-05-1890,,,,,1890,11-17-1961,1912,1920,Benny,Benny Kauff,Kauff,Ty Cobb of the Federal League,,https://www.baseball-almanac.com/players/player.php?p=kauffbe01,Baseball Almanac
01-11-1890,,,,,1890,09-07-1930,1911,1912,Mickey,Mickey Keliher,Keliher,Mickey,,https://www.baseball-almanac.com/players/player.php?p=kelihmi01,Baseball Almanac
05-15-1890,,,,,1890,10-25-1922,1914,1914,Pat,Pat Kilhullen,Kilhullen,Joe or Pat,,https://www.baseball-almanac.com/players/player.php?p=kilhupa01,Baseball Almanac
11-03-1890,,,,,1890,10-15-1986,1913,1923,Larry,Larry Kopf,Kopf,Larry,,https://www.baseball-almanac.com/players/player.php?p=kopfla01,Baseball Almanac
12-27-1890,,,,,1890,04-22-1976,1913,1925,Ernie,Ernie Krueger,Krueger,Ernie,,https://www.baseball-almanac.com/players/player.php?p=krueger01,Baseball Almanac
05-13-1890,,,,,1890,06-05-1976,1916,1918,Otis,Otis Lambeth,Lambeth,,,https://www.baseball-almanac.com/players/player.php?p=lambeot01,Baseball Almanac
10-28-1890,,,,,1890,05-29-1952,1913,1924,Doc,Doc Lavan,Lavan,Doc,,https://www.baseball-almanac.com/players/player.php?p=lavando01,Baseball Almanac
06-01-1890,,,,,1890,06-23-1972,1911,1917,Tom,Tom Long,Long,Tom,,https://www.baseball-almanac.com/players/player.php?p=longto01,Baseball Almanac
08-01-1890,,,,,1890,11-30-1942,1913,1920,Slim,Slim Love,Love,Slim,,https://www.baseball-almanac.com/players/player.php?p=lovesl01,Baseball Almanac
08-04-1890,,,,,1890,07-03-1957,1914,1935,Dolf,Dolf Luque,Luque,Dolf or The Pride of Havana,,https://www.baseball-almanac.com/players/player.php?p=luquedo01,Baseball Almanac
02-01-1890,,,,,1890,02-04-1967,1910,1914,Earle,Earle Mack,Mack,,,https://www.baseball-almanac.com/players/player.php?p=mackea01,Baseball Almanac
06-05-1890,,,,,1890,04-06-1949,1916,1916,Gene,Gene Madden,Madden,Gene,,https://www.baseball-almanac.com/players/player.php?p=maddege01,Baseball Almanac
07-02-1890,,,,,1890,09-09-1949,1912,1912,Len,Len Madden,Madden,Lefty,,https://www.baseball-almanac.com/players/player.php?p=maddele01,Baseball Almanac
05-22-1890,,,,,1890,08-10-1933,1912,1912,George,George Mangus,Mangus,,,https://www.baseball-almanac.com/players/player.php?p=manguge01,Baseball Almanac
10-09-1890,,,,,1890,04-28-1973,1914,1914,Ernie,Ernie Manning,Manning,Ed,,https://www.baseball-almanac.com/players/player.php?p=mannier01,Baseball Almanac
03-09-1890,,,,,1890,04-06-1966,1919,1919,Rolla,Rolla Mapel,Mapel,Lefty,,https://www.baseball-almanac.com/players/player.php?p=mapelro01,Baseball Almanac
09-13-1890,,,,,1890,09-24-1956,1913,1913,Walt,Walt Marbet,Marbet,Walt,,https://www.baseball-almanac.com/players/player.php?p=marbewa01,Baseball Almanac
07-19-1890,,,,,1890,06-11-1980,1912,1915,Rube,Rube Marshall,Marshall,Cy or Rube,,https://www.baseball-almanac.com/players/player.php?p=marshru01,Baseball Almanac
10-09-1890,,,,,1890,06-23-1954,1918,1918,Roy,Roy Massey,Massey,Red,,https://www.baseball-almanac.com/players/player.php?p=massero01,Baseball Almanac
08-24-1890,,,,,1890,09-13-1960,1914,1914,Ralph,Ralph Mattis,Mattis,Matty,,https://www.baseball-almanac.com/players/player.php?p=mattira01,Baseball Almanac
01-16-1890,,,,,1890,03-10-1957,1912,1919,Erskine,Erskine Mayer,Mayer,Scissors,,https://www.baseball-almanac.com/players/player.php?p=mayerer01,Baseball Almanac
07-08-1890,,,,,1890,11-18-1951,1911,1919,Wally,Wally Mayer,Mayer,Wally,,https://www.baseball-almanac.com/players/player.php?p=mayerwa01,Baseball Almanac
12-08-1890,,,,,1890,04-27-1967,1914,1914,John,John McGraw,McGraw,,,https://www.baseball-almanac.com/players/player.php?p=mcgrajo02,Baseball Almanac
09-19-1890,,,,,1890,02-16-1960,1909,1927,Stuffy,Stuffy McInnis,McInnis,Jack or Stuffy,,https://www.baseball-almanac.com/players/player.php?p=mcinnst01,Baseball Almanac
07-20-1890,,,,,1890,08-05-1972,1913,1916,Red,Red McKee,McKee,Red,,https://www.baseball-almanac.com/players/player.php?p=mckeere01,Baseball Almanac
03-18-1890,,,,,1890,05-16-1981,1910,1910,Tommy,Tommy Mee,Mee,Judge,,https://www.baseball-almanac.com/players/player.php?p=meeto01,Baseball Almanac
12-11-1890,,,,,1890,11-09-1958,1913,1913,Walt,Walt Meinert,Meinert,Walt,,https://www.baseball-almanac.com/players/player.php?p=meinewa01,Baseball Almanac
07-28-1890,,,,,1890,11-28-1944,1912,1922,Elmer,Elmer Miller,Miller,,,https://www.baseball-almanac.com/players/player.php?p=milleel01,Baseball Almanac
05-27-1890,,,,,1890,03-30-1972,1912,1912,Johnny,Johnny Miller,Miller,Johnny,,https://www.baseball-almanac.com/players/player.php?p=millech01,Baseball Almanac
04-19-1890,,,,,1890,01-22-1956,1916,1916,Ralph,Ralph Mitterling,Mitterling,Sarge,,https://www.baseball-almanac.com/players/player.php?p=mittera01,Baseball Almanac
03-15-1890,,,,,1890,11-01-1948,1914,1914,Fred,Fred Mollenkamp,Mollenkamp,Fred,,https://www.baseball-almanac.com/players/player.php?p=mollefr01,Baseball Almanac
06-16-1890,,,,,1890,10-03-1967,1913,1919,Fritz,Fritz Mollwitz,Mollwitz,Fritz,,https://www.baseball-almanac.com/players/player.php?p=mollwfr01,Baseball Almanac
01-23-1890,,,,,1890,05-14-1985,1913,1913,Bill,Bill Morley,Morley,Bill,,https://www.baseball-almanac.com/players/player.php?p=morlebi01,Baseball Almanac
11-16-1890,,,,,1890,06-08-1966,1918,1918,Jake,Jake Munch,Munch,Jake,,https://www.baseball-almanac.com/players/player.php?p=munchja01,Baseball Almanac
04-13-1890,,,,,1890,08-29-1976,1913,1913,Al,Al Platte,Platte,Al,,https://www.baseball-almanac.com/players/player.php?p=plattal01,Baseball Almanac
05-04-1890,,,,,1890,09-08-1947,1910,1910,Ralph,Ralph Pond,Pond,,,https://www.baseball-almanac.com/players/player.php?p=pondra01,Baseball Almanac
07-04-1890,,,,,1890,07-27-1938,1911,1915,Milt,Milt Reed,Reed,,,https://www.baseball-almanac.com/players/player.php?p=reedmi01,Baseball Almanac
10-18-1890,,,,,1890,02-16-1959,1915,1915,Ted,Ted Reed,Reed,Ted,,https://www.baseball-almanac.com/players/player.php?p=reedte01,Baseball Almanac
04-21-1890,,,,,1890,04-18-1957,1915,1915,Wally,Wally Reinecker,Reinecker,Wally,,https://www.baseball-almanac.com/players/player.php?p=reinewa01,Baseball Almanac
02-20-1890,,,,,1890,10-13-1974,1915,1934,Sam,Sam Rice,Rice,Sam,,https://www.baseball-almanac.com/players/player.php?p=ricesa01,Baseball Almanac
11-22-1890,,,,,1890,03-30-1983,1914,1917,Jack,Jack Roche,Roche,Red,,https://www.baseball-almanac.com/players/player.php?p=rocheja01,Baseball Almanac
10-04-1890,,,,,1890,04-06-1977,1914,1914,Frank,Frank Rooney,Rooney,,,https://www.baseball-almanac.com/players/player.php?p=roonefr01,Baseball Almanac
07-08-1890,,,,,1890,01-22-1962,1910,1912,Lefty,Lefty Russell,Russell,Lefty,,https://www.baseball-almanac.com/players/player.php?p=russele01,Baseball Almanac
10-19-1890,,,,,1890,01-17-1957,1915,1916,Carl,Carl Sawyer,Sawyer,Huck,,https://www.baseball-almanac.com/players/player.php?p=sawyeca01,Baseball Almanac
04-28-1890,,,,,1890,04-09-1969,1909,1909,Frank,Frank Scanlan,Scanlan,,,https://www.baseball-almanac.com/players/player.php?p=scanlfr01,Baseball Almanac
06-15-1890,,,,,1890,11-12-1968,1914,1914,Dutch,Dutch Schirick,Schirick,Dutch,,https://www.baseball-almanac.com/players/player.php?p=schirdu01,Baseball Almanac
07-23-1890,,,,,1890,03-11-1973,1913,1913,Pete,Pete Schmidt,Schmidt,Pete,,https://www.baseball-almanac.com/players/player.php?p=schmipe01,Baseball Almanac
08-23-1890,,,,,1890,09-03-1955,1913,1913,Hal,Hal Schwenk,Schwenk,Hal,,https://www.baseball-almanac.com/players/player.php?p=schweha01,Baseball Almanac
07-21-1890,,,,,1890,07-30-1941,1912,1925,Howie,Howie Shanks,Shanks,Hawk,,https://www.baseball-almanac.com/players/player.php?p=shankho01,Baseball Almanac
12-04-1890,,,,,1890,12-31-1980,1913,1927,Bob,Bob Shawkey,Shawkey,Bob - Sailor Bob,,https://www.baseball-almanac.com/players/player.php?p=shawkbo01,Baseball Almanac
04-13-1890,,,,,1890,11-12-1978,1912,1912,George,George Shears,Shears,,,https://www.baseball-almanac.com/players/player.php?p=shearge01,Baseball Almanac
05-09-1890,,,,,1890,09-16-1955,1914,1914,Dan,Dan Sherman,Sherman,General,,https://www.baseball-almanac.com/players/player.php?p=shermda01,Baseball Almanac
11-04-1890,,,,,1890,12-21-1987,1915,1915,Joe,Joe Sherman,Sherman,Joe,,https://www.baseball-almanac.com/players/player.php?p=shermjo01,Baseball Almanac
08-22-1890,,,,,1890,09-09-1928,1916,1928,Urban,Urban Shocker,Shocker,,,https://www.baseball-almanac.com/players/player.php?p=shockur01,Baseball Almanac
12-24-1890,,,,,1890,09-12-1956,1913,1919,Tod,Tod Sloan,Sloan,,,https://www.baseball-almanac.com/players/player.php?p=sloanto01,Baseball Almanac
07-19-1890,,,,,1890,12-27-1965,1913,1915,Bob,Bob Smith,Smith,Bob,,https://www.baseball-almanac.com/players/player.php?p=smithbo01,Baseball Almanac
05-15-1890,,,,,1890,04-01-1922,1914,1918,Harry,Harry Smith,Smith,,,https://www.baseball-almanac.com/players/player.php?p=smithha06,Baseball Almanac
04-06-1890,,,,,1890,10-11-1966,1911,1919,Red,Red Smith,Smith,Red,,https://www.baseball-almanac.com/players/player.php?p=smithre02,Baseball Almanac
04-24-1890,,,,,1890,02-28-1958,1912,1912,Henry,Henry Smoyer,Smoyer,Hennie,,https://www.baseball-almanac.com/players/player.php?p=smoyehe01,Baseball Almanac
08-20-1890,,,,,1890,03-24-1954,1914,1914,Chubby,Chubby Snyder,Snyder,Chubby,,https://www.baseball-almanac.com/players/player.php?p=snydech03,Baseball Almanac
05-15-1890,,,,,1890,09-01-1970,1913,1913,Ben,Ben Spencer,Spencer,Ben,,https://www.baseball-almanac.com/players/player.php?p=spencbe01,Baseball Almanac
07-30-1890,,,,,1890,09-29-1975,1912,1925,Casey,Casey Stengel,Stengel,The Old Perfessor,,https://www.baseball-almanac.com/players/player.php?p=stengca01,Baseball Almanac
11-16-1890,,,,,1890,06-20-1926,1913,1914,Tuffy,Tuffy Stewart,Stewart,Tuffy,,https://www.baseball-almanac.com/players/player.php?p=stewatu01,Baseball Almanac
03-21-1890,,,,,1890,04-01-1966,1920,1921,John,John Sullivan,Sullivan,Jake,,https://www.baseball-almanac.com/players/player.php?p=sullijo04,Baseball Almanac
04-15-1890,,,,,1890,03-13-1955,1914,1914,Buck,Buck Sweeney,Sweeney,Buck,,https://www.baseball-almanac.com/players/player.php?p=sweenbu01,Baseball Almanac
06-03-1890,,,,,1890,05-15-1961,1913,1913,John,John Taff,Taff,,,https://www.baseball-almanac.com/players/player.php?p=taffjo01,Baseball Almanac
05-15-1890,,,,,1890,03-06-1946,1916,1916,Claude,Claude Thomas,Thomas,Lefty,,https://www.baseball-almanac.com/players/player.php?p=thomacl01,Baseball Almanac
02-13-1890,,,,,1890,03-26-1960,1915,1915,Dan,Dan Tipple,Tipple,Big Dan,,https://www.baseball-almanac.com/players/player.php?p=tipplda01,Baseball Almanac
02-20-1890,,,,,1890,02-25-1962,1915,1915,Tink,Tink Turner,Turner,,,https://www.baseball-almanac.com/players/player.php?p=turneti01,Baseball Almanac
03-04-1890,,,,,1890,05-17-1954,1914,1914,Earl,Earl Tyree,Tyree,Ty,,https://www.baseball-almanac.com/players/player.php?p=tyreeea01,Baseball Almanac
06-07-1890,,,,,1890,06-10-1958,1913,1913,John,John Vann,Vann,,,https://www.baseball-almanac.com/players/player.php?p=vannjo01,Baseball Almanac
12-30-1890,,,,,1890,01-06-1969,1912,1916,Jim,Jim Viox,Viox,Jim,,https://www.baseball-almanac.com/players/player.php?p=vioxji01,Baseball Almanac
01-04-1890,,,,,1890,01-31-1963,1912,1921,Ossie,Ossie Vitt,Vitt,Old Os - Ol Os - Ossie,,https://www.baseball-almanac.com/players/player.php?p=vittos01,Baseball Almanac
06-25-1890,,,,,1890,09-27-1955,1912,1912,Fred,Fred Walden,Walden,Fred,,https://www.baseball-almanac.com/players/player.php?p=waldefr01,Baseball Almanac
09-17-1890,,,,,1890,04-01-1965,1913,1915,Ernie,Ernie Walker,Walker,Ernie,,https://www.baseball-almanac.com/players/player.php?p=walkeer01,Baseball Almanac
08-06-1890,,,,,1890,10-15-1960,1915,1915,Jack,Jack Wallace,Wallace,Jack,,https://www.baseball-almanac.com/players/player.php?p=wallaja01,Baseball Almanac
03-28-1890,,,,,1890,07-14-1971,1913,1915,Dee,Dee Walsh,Walsh,Dee,,https://www.baseball-almanac.com/players/player.php?p=walshde01,Baseball Almanac
01-10-1890,,,,,1890,04-10-1962,1916,1919,Milt,Milt Watson,Watson,Milt or Mule,,https://www.baseball-almanac.com/players/player.php?p=watsomi01,Baseball Almanac
08-18-1890,,,,,1890,01-31-1956,1912,1920,Buck,Buck Weaver,Weaver,Buck,,https://www.baseball-almanac.com/players/player.php?p=weavebu01,Baseball Almanac
05-11-1890,,,,,1890,11-29-1929,1913,1913,Jimmy,Jimmy Whelan,Whelan,Jimmy,,https://www.baseball-almanac.com/players/player.php?p=whelaji01,Baseball Almanac
02-04-1890,,,,,1890,10-15-1962,1912,1922,Possum,Possum Whitted,Whitted,Possum,,https://www.baseball-almanac.com/players/player.php?p=whittpo01,Baseball Almanac
09-22-1890,,,,,1890,06-20-1966,1911,1915,Denney,Denney Wilie,Wilie,Denney,,https://www.baseball-almanac.com/players/player.php?p=wiliede01,Baseball Almanac
06-20-1890,,,,,1890,04-09-1918,1911,1911,Ed,Ed Wilkinson,Wilkinson,Ed,,https://www.baseball-almanac.com/players/player.php?p=wilkied01,Baseball Almanac
06-23-1890,,,,,1890,12-21-1963,1913,1914,Harry,Harry Williams,Williams,,,https://www.baseball-almanac.com/players/player.php?p=williha01,Baseball Almanac
06-28-1890,,,,,1890,01-22-1959,1915,1929,Ken,Ken Williams,Williams,Ken,,https://www.baseball-almanac.com/players/player.php?p=willike01,Baseball Almanac
04-09-1890,,,,,1890,12-04-1966,1911,1913,Joe,Joe Willis,Willis,Joe,,https://www.baseball-almanac.com/players/player.php?p=willijo01,Baseball Almanac
06-15-1890,,,,,1890,09-23-1954,1913,1913,John,John Wilson,Wilson,,,https://www.baseball-almanac.com/players/player.php?p=wilsojo01,Baseball Almanac
06-03-1890,,,,,1890,03-07-1953,1914,1914,Tom,Tom Wilson,Wilson,Slats,,https://www.baseball-almanac.com/players/player.php?p=wilsoto01,Baseball Almanac
07-08-1890,,,,,1890,03-01-1941,1911,1929,Ivey,Ivey Wingo,Wingo,,,https://www.baseball-almanac.com/players/player.php?p=wingoiv01,Baseball Almanac
03-20-1890,,,,,1890,06-30-1947,1914,1918,Mellie,Mellie Wolfgang,Wolfgang,Red,,https://www.baseball-almanac.com/players/player.php?p=wolfgme01,Baseball Almanac
